Date (GMT),Open,High,Low,Last,Volume,Volume,BBandUp,BBandMid,BBandLow
12/23/2020 12:00,23065.24,23135.45,22960.13,23070.19,3546.4535,3546.4535,23826.28491,23466.49462,23106.70434
12/23/2020 12:30,23070.18,23329.98,22931,23272.47,4159.4369,4159.4369,23811.33555,23448.01609,23084.69663
12/23/2020 13:00,23272.46,23850,23254.9,23842.46,5313.9074,5313.9074,23865.32539,23485.58217,23105.83896
12/23/2020 13:30,23842.64,24100,23718.95,23873.18,5463.1333,5463.1333,23923.7439,23522.49625,23121.2486
12/23/2020 14:00,23873.18,23889.37,23457.98,23612.4,4465.69,4465.69,23927.54794,23531.05851,23134.56909
12/23/2020 14:30,23610.79,23829.09,23536.25,23608.33,3613.5585,3613.5585,23935.78474,23538.4177,23141.05067
12/23/2020 15:00,23608.34,23800,23600,23759.67,2334.2137,2334.2137,23972.4281,23559.48935,23146.5506
12/23/2020 15:30,23759.68,23772.79,23612.11,23682.84,1816.912,1816.912,23990.76975,23571.23703,23151.70431
12/23/2020 16:00,23682.84,23895.85,23336,23457.68,3517.5114,3517.5114,23978.9651,23560.42208,23141.87905
12/23/2020 16:30,23457.69,23651.82,23379.73,23587.36,3332.1538,3332.1538,23980.632,23562.98759,23145.34319
12/23/2020 17:00,23587.36,23634.75,23393.62,23409.38,2670.7459,2670.7459,23967.47185,23548.3583,23129.24474
12/23/2020 17:30,23409.38,23614.77,23350,23499.28,2213.9881,2213.9881,23961.5348,23543.68417,23125.83355
12/23/2020 18:00,23499.01,23640.63,23496.71,23590.02,1773.9564,1773.9564,23966.95868,23548.09711,23129.23554
12/23/2020 18:30,23591.59,23674,23550,23618.55,1598.332,1598.332,23975.2624,23554.80691,23134.35142
12/23/2020 19:00,23618.55,23678.49,23550,23605.08,1376.992,1376.992,23980.83922,23559.59482,23138.35043
12/23/2020 19:30,23605.08,23605.08,23500,23534.66,1316.4409,1316.4409,23976.93635,23557.22008,23137.50381
12/23/2020 20:00,23535.38,23622.67,23534.64,23556.02,1217.4052,1217.4052,23975.29066,23557.10578,23138.92091
12/23/2020 20:30,23556.03,23625,23500,23500.01,1230.5216,1230.5216,23966.57738,23551.66809,23136.75881
12/23/2020 21:00,23500.01,23552,23423.01,23514.43,1892.8793,1892.8793,23959.7514,23548.12161,23136.49181
12/23/2020 21:30,23514.42,23527.44,23252.09,23393.86,2284.3905,2284.3905,23891.5438,23533.43002,23175.31625
12/23/2020 22:00,23393.87,23434,23153.79,23316.16,2482.7927,2482.7927,23830.79364,23512.73764,23194.68164
12/23/2020 22:30,23316.15,23375,22650,23004.15,3331.647,3331.647,23869.88879,23464.30072,23058.71266
12/23/2020 23:00,23005.97,23379.88,22910.07,23287.13,2591.1801,2591.1801,23835.89225,23447.42732,23058.9624
12/23/2020 23:30,23287.13,23470.05,23213.78,23359.33,2876.6075,2876.6075,23784.96573,23439.0371,23093.10847
12/24/2020 0:00,23359.33,23440.11,23164.09,23234.36,2256.1735,2256.1735,23779.13415,23419.54404,23059.95394
12/24/2020 0:30,23232.39,23242.04,22800,22994.25,2952.5302,2952.5302,23795.25054,23379.03985,22962.82916
12/24/2020 1:00,22994.25,23104.22,22800,23069.54,2364.8265,2364.8265,23767.1229,23349.56367,22932.00445
12/24/2020 1:30,23069.54,23133.29,22925.6,22980.66,2047.5719,2047.5719,23752.16658,23314.42999,22876.6934
12/24/2020 2:00,22980.66,23229.95,22880,23203.91,2133.6929,2133.6929,23744.90014,23303.90428,22862.90842
12/24/2020 2:30,23201.75,23229.98,23031.66,23035.11,1459.6022,1459.6022,23727.64645,23278.30482,22828.96319
12/24/2020 3:00,23035.12,23108.64,22738.95,22803.9,2368.1251,2368.1251,23744.30401,23233.12341,22721.94281
12/24/2020 3:30,22805.83,22968.4,22703.42,22837.87,2159.2975,2159.2975,23739.30306,23195.48023,22651.65739
12/24/2020 4:00,22837.87,22934.68,22807.46,22880,1199.9824,1199.9824,23711.30534,23165.43449,22619.56364
12/24/2020 4:30,22880,23022.83,22815.66,22840.43,1291.0447,1291.0447,23672.83188,23134.48168,22596.13149
12/24/2020 5:00,22840.43,23043.98,22786.67,23020.31,1510.3999,1510.3999,23625.15631,23123.60819,22622.06007
12/24/2020 5:30,23020.31,23133.45,22914.2,23040.11,1234.5253,1234.5253,23585.4171,23115.65598,22645.89486
12/24/2020 6:00,23040.1,23136.48,22999.85,23050.91,963.6818,963.6818,23537.29036,23109.4897,22681.68903
12/24/2020 6:30,23049.98,23141.15,22924.01,22979.94,1159.9546,1159.9546,23490.57608,23097.15163,22703.72718
12/24/2020 7:00,22979.94,23014.76,22868,22934.02,1338.8376,1338.8376,23430.95565,23081.61528,22732.27492
12/24/2020 7:30,22934.01,23112.45,22823.99,23072.41,1387.3462,1387.3462,23400.6107,23080.73859,22760.86649
12/24/2020 8:00,23072.42,23219.38,23011.77,23168.14,1285.138,1285.138,23398.51857,23089.06253,22779.6065
12/24/2020 8:30,23168.13,23399.94,23070,23351.04,2086.1505,2086.1505,23455.92447,23114.01277,22772.10107
12/24/2020 9:00,23351.26,23479.26,23268.65,23437.24,1790.9468,1790.9468,23529.17367,23144.79632,22760.41896
12/24/2020 9:30,23437.24,23469.86,23278.44,23320.74,1481.9831,1481.9831,23557.6016,23161.55286,22765.50411
12/24/2020 10:00,23320.73,23405.5,23261.08,23347.41,1126.1874,1126.1874,23600.14265,23179.25354,22758.36443
12/24/2020 10:30,23347.4,23357,23150.02,23191.32,1596.2945,1596.2945,23594.24491,23180.40272,22766.56054
12/24/2020 11:00,23191.33,23265.11,23115,23132.14,1004.9921,1004.9921,23582.88907,23175.80627,22768.72347
12/24/2020 11:30,23132.15,23263.22,23049.95,23235.14,1365.9993,1365.9993,23584.72536,23181.45711,22778.18885
12/24/2020 12:00,23235.14,23294.16,23150,23218.67,1010.9528,1010.9528,23591.58133,23185.00119,22778.42105
12/24/2020 12:30,23218.67,23296.05,23085.94,23105.9,1208.1397,1208.1397,23573.79087,23177.46774,22781.14461
12/24/2020 13:00,23105.9,23233,23012.29,23205.52,1397.972,1397.972,23541.53737,23180.13939,22818.7414
12/24/2020 13:30,23204.34,23290,23130,23173.57,1141.479,1141.479,23506.56777,23179.51373,22852.4597
12/24/2020 14:00,23173.57,23391.02,23162.85,23378.86,1518.2698,1518.2698,23516.84953,23198.49909,22880.14865
12/24/2020 14:30,23378.86,23425.95,23273.69,23347.58,1383.3685,1383.3685,23499.79775,23212.69727,22925.5968
12/24/2020 15:00,23347.58,23363.16,23154.39,23215.48,1166.5235,1166.5235,23486.93822,23212.96229,22938.98636
12/24/2020 15:30,23215.48,23295.77,23100,23151.87,1317.0776,1317.0776,23470.59683,23207.14398,22943.69113
12/24/2020 16:00,23151.86,23272.41,23102,23232.72,1122.7542,1122.7542,23463.79383,23209.57979,22955.36575
12/24/2020 16:30,23232.72,23323.28,23108.01,23302.54,1673.3994,1673.3994,23452.84425,23218.43314,22984.02204
12/24/2020 17:00,23302.53,23345,23200.21,23223.96,962.1142,962.1142,23415.64256,23218.95951,23022.27646
12/24/2020 17:30,23223.96,23350,23160.73,23334.78,1056.9612,1056.9612,23415.70502,23229.99003,23044.27505
12/24/2020 18:00,23334.78,23460.97,23325.5,23377.27,1283.7503,1283.7503,23431.13384,23244.0167,23056.89955
12/24/2020 18:30,23377.28,23419.57,23314.7,23344,743.0081,743.0081,23436.77183,23253.53892,23070.30601
12/24/2020 19:00,23344,23349,23280,23313.35,545.94,545.94,23425.01643,23259.23521,23093.45399
12/24/2020 19:30,23313.35,23404.39,23311.15,23357.05,534.646,534.646,23438.75968,23268.5509,23098.34213
12/24/2020 20:00,23357.05,23390,23250.18,23286.79,634.8628,634.8628,23437.54339,23270.28796,23103.03253
12/24/2020 20:30,23286.79,23406.6,23258.35,23378.84,759.3294,759.3294,23453.49175,23280.62625,23107.76075
12/24/2020 21:00,23378.84,23560,23378.84,23526.47,1395.4021,1395.4021,23501.11153,23304.03994,23106.96836
12/24/2020 21:30,23526.47,23563.54,23435.92,23539.25,1333.478,1333.478,23553.4961,23326.4409,23099.38569
12/24/2020 22:00,23539.24,23559.99,23366.84,23413.64,1177.1879,1177.1879,23562.97505,23334.74558,23106.5161
12/24/2020 22:30,23413.63,23550,23385.98,23550,917.931,917.931,23585.25002,23355.246,23125.24198
12/24/2020 23:00,23549.77,23750,23549.77,23708.72,2396.8006,2396.8006,23666.8353,23388.91019,23110.98508
12/24/2020 23:30,23708.89,23782.18,23615,23701.5,2620.9312,2620.9312,23722.27495,23418.68065,23115.08634
12/25/2020 0:00,23701.5,23794.43,23663.04,23731.5,2402.0969,2402.0969,23793.41004,23448.47297,23103.53589
12/25/2020 0:30,23731.5,23827.54,23560,23621.07,2288.8041,2288.8041,23823.12193,23464.91078,23106.69963
12/25/2020 1:00,23621.07,23677.83,23580,23622.66,955.5559,955.5559,23833.82549,23479.93451,23126.04354
12/25/2020 1:30,23622.67,23649.56,23532.54,23581.33,805.0792,805.0792,23818.05098,23489.59123,23161.13147
12/25/2020 2:00,23581.33,23654.83,23569.45,23597.2,682.5048,682.5048,23813.80263,23499.83968,23185.87673
12/25/2020 2:30,23597.21,23597.21,23597.21,23597.21,0.0122,0.0122,23815.27151,23509.11304,23202.95458
12/25/2020 3:30,23597.2,23597.2,23433.6,23479.76,1009.2355,1009.2355,23784.77774,23506.31752,23227.85729
12/25/2020 4:00,23479.76,23559,23465.05,23480.67,486.6612,486.6612,23771.99902,23503.8749,23235.75077
12/25/2020 4:30,23480.67,23569.54,23451.79,23542.44,527.8198,527.8198,23769.46646,23507.54776,23245.62907
12/25/2020 5:00,23542.43,23617.64,23512.65,23612.26,555.4396,555.4396,23770.27504,23517.52036,23264.76567
12/25/2020 5:30,23612.27,23622.44,23527.02,23593.74,624.8907,624.8907,23759.85492,23524.77937,23289.70383
12/25/2020 6:00,23593.74,23649,23526.67,23599.22,760.0696,760.0696,23753.3344,23531.86895,23310.40351
12/25/2020 6:30,23599.21,23662.88,23546.33,23570.35,666.9237,666.9237,23725.78631,23535.53382,23345.28133
12/25/2020 7:00,23570.35,23681.19,23570.35,23625.46,978.0787,978.0787,23716.80023,23544.09821,23371.3962
12/25/2020 7:30,23625.46,23625.47,23510.72,23536.81,1017.875,1017.875,23716.62315,23543.4041,23370.18504
12/25/2020 8:00,23536.82,23679.99,23523.98,23645.79,1152.976,1152.976,23722.85852,23553.15514,23383.45176
12/25/2020 8:30,23645.79,23870,23638.13,23792.99,2336.137,2336.137,23743.91091,23575.99655,23408.0822
12/25/2020 9:00,23793,23823.41,23600,23678.62,1675.5405,1675.5405,23751.37026,23585.77021,23420.17017
12/25/2020 9:30,23678.61,23850,23643.96,23830.83,1401.632,1401.632,23787.46854,23609.10924,23430.74995
12/25/2020 10:00,23830.83,23982.82,23788.41,23932.92,2833.243,2833.243,23860.91734,23639.94836,23418.97939
12/25/2020 10:30,23932.92,24032,23766.66,23920.29,3271.4718,3271.4718,23921.69955,23666.64756,23411.59558
12/25/2020 11:00,23920.29,23999.16,23865.67,23975.05,2059.7274,2059.7274,23993.48849,23696.01923,23398.54996
12/25/2020 11:30,23975.05,24250.5,23902.43,24250.49,3901.567,3901.567,24150.91912,23748.82597,23346.73281
12/25/2020 12:00,24250.5,24681,24250.49,24580.71,6930.1921,6930.1921,24397.10415,23828.05302,23259.00188
12/25/2020 12:30,24578.7,24642.34,24420,24458.76,2799.7113,2799.7113,24542.13473,23888.12035,23234.10597
12/25/2020 13:00,24458.75,24569.6,24337.26,24345.69,2025.4398,2025.4398,24626.75698,23931.69841,23236.63984
12/25/2020 13:30,24345.68,24467.79,24330,24455.77,1929.1194,1929.1194,24710.45233,23981.60999,23252.76765
12/25/2020 14:00,24455.77,24550,24395,24500,1248.193,1248.193,24784.57217,24030.98047,23277.38876
12/25/2020 14:30,24500,24520,24392.82,24509.86,1105.4633,1105.4633,24848.80305,24076.58804,23304.37303
12/25/2020 15:00,24509.86,24515.2,23785.5,24042.79,3850.4447,3850.4447,24815.86195,24073.36918,23330.87642
12/25/2020 15:30,24042.79,24199.93,24001.33,24109.99,1945.3155,1945.3155,24788.99809,24076.85688,23364.71567
12/25/2020 16:00,24109.98,24141.76,23949.17,24025.13,2300.8934,2300.8934,24750.66042,24071.93051,23393.2006
